u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,tokyo_dura,tokyo_fare,tokyo_tran,L01_005,lvalue,L01_044,L01_045,L01_046,L01_047
174,144,アパホテル町田駅東,東京都町田市原町田４丁目15番16号,2016年4月,2016,東京都,13_東京都,122,FC,アパホテルズ＆リゾーツ,東京都/町田市/原町田/四丁目/１５番,139.45076,35.54213,5,7,77,866,1,148,2117,2,74,535,2,2018,747000,中高層店舗やマンションが増えつつある商業地域,町田,400,商業
455,6,ベストウェスタンレンブラントホテル東京町田,東京都町田市原町田3-2-9,2016年4月,2016,東京都,13_東京都,100,FC,価値開発ホテルグループ,東京都/町田市/原町田/三丁目/２番,139.45006,35.54054,5,7,77,866,1,148,2117,2,75,535,2,2018,747000,中高層店舗やマンションが増えつつある商業地域,町田,400,商業
2495,8,ホテルリソル町田,東京都町田市森野１丁目１２-１５,1993年9月,1993,東京都,13_東京都,225,賃貸,リソルホテル&リゾーツ,東京都/町田市/森野/一丁目/１２番,139.44254,35.54424,5,7,76,866,1,147,2117,2,70,535,2,2018,1080000,中層の店舗、事務所ビルが多い駅前の商業地域,小田急町田,270,商業
1611,208,東横INN町田駅小田急線東口,東京都町田市中町１丁目３-３,2010年1月,2010,東京都,13_東京都,233,NA,東横INN,東京都/町田市/中町/一丁目/３番,139.44513,35.54686,5,7,79,866,1,150,2117,2,71,535,2,2018,801000,中層店舗ビルの間に一般住宅が見られる商業地域,小田急町田,100,商業
413,41,ホテルJALシティ羽田東京,東京都大田区羽田旭町４-１１,2005年4月,2005,東京都,13_東京都,308,MC,オークラホテルズ＆リゾーツ、ニッコーホテルズ・インターナショナル、ホテルJALシティ,東京都/大田区/羽田旭町/４番,139.7476,35.55204,5,7,21,304,0,121,1606,2,41,565,1,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
414,42,ホテルJALシティ羽田東京ウェストウィング,東京都大田区羽田旭町４-１６,2016年9月,2016,東京都,13_東京都,103,MC,オークラホテルズ＆リゾーツ、ニッコーホテルズ・インターナショナル、ホテルJALシティ,東京都/大田区/羽田旭町/４番,139.7476,35.55204,5,7,21,304,0,121,1606,2,42,565,1,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
433,5,ホテルJALシティ羽田東京,東京都大田区羽田旭町４-１１,2005年4月,2005,東京都,13_東京都,308,賃貸,オリックス不動産,東京都/大田区/羽田旭町/４番,139.7476,35.55204,5,7,21,304,0,121,1606,2,41,565,1,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
447,19,ホテルJALシティ羽田東京ウエストウイング,東京都大田区羽田旭町４-１６,2016年9月,2016,東京都,13_東京都,103,賃貸,オリックス不動産,東京都/大田区/羽田旭町/４番,139.7476,35.55204,5,7,21,304,0,121,1606,2,42,565,1,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
736,13,京急EXイン羽田,東京都大田区羽田５丁目５-１４,2017年10月,2017,東京都,13_東京都,313,MC,京急EXイン,東京都/大田区/羽田/五丁目/５番,139.75209,35.55044,5,7,21,154,0,118,1729,1,36,565,1,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
2255,13,ホテルマイステイズ羽田,東京都大田区羽田５丁目１-１３,2014年9月,2014,東京都,13_東京都,174,賃貸,ホテルマイステイズマネジメント,東京都/大田区/羽田/五丁目/１番,139.74883,35.55009,5,7,21,304,0,121,1606,2,40,565,1,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
