brand,expantion
JR西日本ホテルズ,1
WHG,1
アコーホテルズ,2
アゴーラ・ホテルアライアンス,2
アパホテルズ＆リゾーツ,12
インターコンチネンタル、ANAクラウンプラザホテル、ホリディ・イン、ANAホテル,3
ヴィアインホテルチェーン,6
オークラホテルズ＆リゾーツ、ニッコーホテルズ・インターナショナル、ホテルJALシティ,2
オリックス不動産,2
カラカミ観光,1
からくさホテルズ,3
グランビスタホテル＆リゾート,1
グリーンホスピタリティーマネジメント,1
コアグローバルマネジメント,2
サンルートホテルチェーン,2
ジョイテルグループホテルズ,2
スーパーホテル,10
ソラーレホテルズアンドリゾーツ,2
ダイワロイネットホテルズ,4
チョイスホテルズジャパン,2
ネストホテルグループ,1
ハートンホテル,4
ハイアットホテルズアンドリゾート,1
ヒルトン,2
ブライトンホテルズ,1
ベッセルグループ,1
ホスピタリティパートナーズグループ,2
ホテル1-2-3チェーン,2
ホテルWBFグループ,6
ホテルヴィラフォンテーヌ,1
ホテルウィングインターナショナル,2
ホテルマイステイズマネジメント,7
ホテルモントレグループ,3
ホテルユ二ゾグループ,1
ホテルリリーフ,1
ホテル京阪チェーン,5
ホテル法華クラブグループ,1
マリオットインターナショナル,7
リーガロイヤルホテルグループ,2
リゾートトラスト,3
リッチモンドホテルズ,2
リブマックスホテルズ＆リゾーツ,8
ルートインホテルズ,3
ワシントンホテルプラザチェーン　R＆Bホテルチェーン,3
価値開発ホテルグループ,2
共立メンテナンス,4
国際興業グループ,1
阪急阪神第一ホテルグループ,9
三井ガーデンホテルズ,2
森トラストグループ,1
西鉄ホテルズ,1
大江戸温泉物語グループ,1
帝国ホテル,1
都ホテルズ＆リゾーツ,4
東横INN,22
東急ホテルズ,3
二ューオータ二ホテルズ,1
