brand,expantion
CENTURION HOTELS,10
HMIホテルグループ,3
JR九州グループホテル,1
JR東日本ホテルズ,14
TKPホテル＆リゾート事業,3
UDS,3
WHG,8
アコーホテルズ,2
アゴーラ・ホテルアライアンス,1
アパホテルズ＆リゾーツ,52
アベストホテルズ,2
イシンホテルズグループ,9
インターコンチネンタル、ANAクラウンプラザホテル、ホリディ・イン、ANAホテル,3
ヴィアインホテルチェーン,5
オークラホテルズ＆リゾーツ、ニッコーホテルズ・インターナショナル、ホテルJALシティ,8
オリックス不動産,3
カラカミ観光,1
グランパークホテル,3
グランビスタホテル＆リゾート,1
グリーンホスピタリティーマネジメント,3
くれたけホテルチェーン,2
グローバルエージェンツ,1
コート・ホテルズ・アンド・リゾーツ,1
サンルートホテルチェーン,13
スーパーホテル,20
ソラーレホテルズアンドリゾーツ,3
ダイワロイネットホテルズ,3
チョイスホテルズジャパン,4
ハートンホテル,1
ハイアットホテルズアンドリゾート,4
パレスホテルグループ,3
ビスタホテルグループ,1
ビューホテルズ＆リゾーツ,3
ヒルトン,3
ファミリーロッジ旅籠屋,1
フォーシーズンズホテルズアンドリゾーツ,1
プリンスホテルズ＆リゾーツ,9
ベッセルグループ,1
ホスピタリティパートナーズグループ,7
ホテルヴィラフォンテーヌ,13
ホテルウィングインターナショナル,5
ホテルマイステイズマネジメント,33
ホテルマロウドチェーン,3
ホテルモントレグループ,4
ホテルユ二ゾグループ,7
ホテルリリーフ,2
ホテル京阪チェーン,1
ホテル法華クラブグループ,2
マリオットインターナショナル,9
ユーアンドアールホテルマネジメント,1
ユニマットプレシャス,1
リーガロイヤルホテルグループ,2
リステルホテル,2
リゾートトラスト,4
リソルホテル&リゾーツ,2
リッチモンドホテルズ,7
リブマックスホテルズ＆リゾーツ,19
ルートインホテルズ,6
ロイヤルパークホテルズ,3
ワシントンホテルプラザチェーン　R＆Bホテルチェーン,6
価値開発ホテルグループ,3
京王プラザホテル,3
京王プレッソイン,11
京急EXイン,10
共立メンテナンス,10
阪急阪神第一ホテルグループ,11
三井ガーデンホテルズ,9
小田急グループホテル,2
森トラストグループ,4
星野リゾート,1
西鉄ホテルズ,3
相鉄フレッサイン,15
大江戸温泉物語グループ,1
帝国ホテル,1
東横INN,38
東急ステイ,17
東急ホテルズ,10
東京ドームホテルズ,1
二ューオータ二ホテルズ,2
