u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,L01_005,L01_006,L01_044,L01_045,L01_046,L01_047
174,144,アパホテル町田駅東,東京都町田市原町田４丁目15番16号,2016年4月,2016,東京都,13_東京都,122,FC,アパホテルズ＆リゾーツ,東京都/町田市/原町田/四丁目/１５番,139.450760000000002,35.542130000000000,5,7,1h17m,866,1,2h28m,"2,117",2,2018,747000,中高層店舗やマンションが増えつつある商業地域,町田,400,商業
455,6,ベストウェスタンレンブラントホテル東京町田,東京都町田市原町田3-2-9,2016年4月,2016,東京都,13_東京都,100,FC,価値開発ホテルグループ,東京都/町田市/原町田/三丁目/２番,139.450060000000008,35.540540000000000,5,7,1h17m,866,1,2h28m,"2,117",2,2018,747000,中高層店舗やマンションが増えつつある商業地域,町田,400,商業
2495,8,ホテルリソル町田,東京都町田市森野１丁目１２-１５,1993年9月,1993,東京都,13_東京都,225,賃貸,リソルホテル&リゾーツ,東京都/町田市/森野/一丁目/１２番,139.442540000000008,35.544240000000002,5,7,1h16m,866,1,2h27m,"2,117",2,2018,1080000,中層の店舗、事務所ビルが多い駅前の商業地域,小田急町田,270,商業
1611,208,東横INN町田駅小田急線東口,東京都町田市中町１丁目３-３,2010年1月,2010,東京都,13_東京都,233,NA,東横INN,東京都/町田市/中町/一丁目/３番,139.445130000000006,35.546860000000002,5,7,1h19m,866,1,2h30m,"2,117",2,2018,801000,中層店舗ビルの間に一般住宅が見られる商業地域,小田急町田,100,商業
413,41,ホテルJALシティ羽田東京,東京都大田区羽田旭町４-１１,2005年4月,2005,東京都,13_東京都,308,MC,オークラホテルズ＆リゾーツ、ニッコーホテルズ・インターナショナル、ホテルJALシティ,東京都/大田区/羽田旭町/４番,139.747600000000006,35.552039999999998,5,7,21m,304,0,2h1m,"1,606",2,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
414,42,ホテルJALシティ羽田東京ウェストウィング,東京都大田区羽田旭町４-１６,2016年9月,2016,東京都,13_東京都,103,MC,オークラホテルズ＆リゾーツ、ニッコーホテルズ・インターナショナル、ホテルJALシティ,東京都/大田区/羽田旭町/４番,139.747600000000006,35.552039999999998,5,7,21m,304,0,2h1m,"1,606",2,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
433,5,ホテルJALシティ羽田東京,東京都大田区羽田旭町４-１１,2005年4月,2005,東京都,13_東京都,308,賃貸,オリックス不動産,東京都/大田区/羽田旭町/４番,139.747600000000006,35.552039999999998,5,7,21m,304,0,2h1m,"1,606",2,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
447,19,ホテルJALシティ羽田東京ウエストウイング,東京都大田区羽田旭町４-１６,2016年9月,2016,東京都,13_東京都,103,賃貸,オリックス不動産,東京都/大田区/羽田旭町/４番,139.747600000000006,35.552039999999998,5,7,21m,304,0,2h1m,"1,606",2,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
736,13,京急EXイン羽田,東京都大田区羽田５丁目５-１４,2017年10月,2017,東京都,13_東京都,313,MC,京急EXイン,東京都/大田区/羽田/五丁目/５番,139.752090000000010,35.550440000000002,5,7,21m,154,0,1h58m,"1,729",1,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
2255,13,ホテルマイステイズ羽田,東京都大田区羽田５丁目１-１３,2014年9月,2014,東京都,13_東京都,174,賃貸,ホテルマイステイズマネジメント,東京都/大田区/羽田/五丁目/１番,139.748829999999998,35.550089999999997,5,7,21m,304,0,2h1m,"1,606",2,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
2962,5,ロイヤルパークホテルザ羽田,東京都大田区羽田空港２-６-５羽田空港国際線旅客ターミナルビル内,2014年9月,2014,東京都,13_東京都,313,賃貸,ロイヤルパークホテルズ,東京都/大田区/羽田空港/二丁目/６番,139.767290000000003,35.545409999999997,5,7,16m,195,0,1h47m,"1,746",0,2018,443000,小売店舗、アパート等が混在する既成商業地域,穴守稲荷,240,近商
1438,35,東横INN羽田空港Ⅰ,東京都大田区羽田１丁目２-１,2001年8月,2001,東京都,13_東京都,250,NA,東横INN,東京都/大田区/羽田/一丁目/２番,139.742919999999998,35.551830000000002,5,7,23m,304,0,2h0m,"1,606",2,2018,681000,高層店舗兼共同住宅とホテルの多い路線商業地域,大鳥居,100,商業
1461,58,東横INN羽田空港Ⅱ,東京都大田区羽田１丁目１-７,2003年5月,2003,東京都,13_東京都,311,NA,東横INN,東京都/大田区/羽田/一丁目/１番,139.741260000000011,35.552079999999997,5,7,23m,304,0,2h0m,"1,606",2,2018,681000,高層店舗兼共同住宅とホテルの多い路線商業地域,大鳥居,100,商業
2231,6,リリーフプレミアム羽田空港,東京都大田区萩中３丁目６-９,2017年12月,2017,東京都,13_東京都,102,賃貸,ホテルリリーフ,東京都/大田区/萩中/三丁目/６番,139.739200000000011,35.552090000000000,5,7,18m,304,0,1h55m,"1,606",2,2018,437000,店舗、店舗兼共同住宅等が混在する既成商業地域,大鳥居,290,近商
1148,33,チサンイン蒲田,東京都大田区蒲田４丁目２３-１３,2012年7月,2012,東京都,13_東京都,70,賃貸,ソラーレホテルズアンドリゾーツ,東京都/大田区/蒲田/四丁目/２３番,139.721730000000008,35.560499999999998,5,7,20m,335,0,1h44m,"1,564",1,2018,484000,中規模一般住宅、共同住宅が混在する住宅地域,蒲田,660,1住居
1331,14,東急ステイ蒲田,東京都大田区蒲田４丁目２３-１,2011年4月,2011,東京都,13_東京都,141,賃貸,東急ステイ,東京都/大田区/蒲田/四丁目/２３番,139.721730000000008,35.560499999999998,5,7,19m,335,0,1h43m,"1,564",1,2018,484000,中規模一般住宅、共同住宅が混在する住宅地域,蒲田,660,1住居
2230,5,リリーフプレミアム羽田,東京都大田区南蒲田１丁目２５-１３,2017年10月,2017,東京都,13_東京都,120,賃貸,ホテルリリーフ,東京都/大田区/南蒲田/一丁目/２５番,139.725230000000010,35.557189999999999,5,7,23m,335,0,1h47m,"1,564",1,2018,905000,中高層の店舗兼共同住宅が多い駅前の商業地域,京急蒲田,150,商業
1404,1,東横INN蒲田Ⅰ,東京都大田区西蒲田８丁目７-7,1986年2月,1986,東京都,13_東京都,52,NA,東横INN,東京都/大田区/西蒲田/八丁目/７番,139.711029999999994,35.560910000000000,5,7,35m,335,0,1h54m,"1,534",2,2018,470000,一般住宅、共同住宅等が混在する住宅地域,蒲田,600,1住居
2257,15,ホテルマイステイズ蒲田,東京都大田区蒲田５丁目４６-５,2009年9月,2009,東京都,13_東京都,116,MC,ホテルマイステイズマネジメント,東京都/大田区/蒲田/五丁目/４６番,139.715929999999986,35.560169999999999,5,7,27m,335,0,1h51m,"1,564",1,2018,3550000,中高層建物の店舗が建ち並ぶ商業地域,蒲田,0,商業
979,59,スーパーホテル東京・JR蒲田西口,東京都大田区西蒲田５丁目19番17号,2007年11月,2007,東京都,13_東京都,118,賃貸,スーパーホテル,東京都/大田区/西蒲田/五丁目/１９番,139.714159999999993,35.564839999999997,5,7,30m,335,0,1h54m,"1,564",1,2018,1810000,中高層の店舗兼共同住宅等が建ち並ぶ商業地域,蒲田,170,商業
1673,11,西鉄イン蒲田,東京都大田区西蒲田７丁目４９-５,2009年5月,2009,東京都,13_東京都,131,直営,西鉄ホテルズ,東京都/大田区/西蒲田/七丁目/４９番,139.712750000000000,35.562489999999997,5,7,30m,335,0,1h53m,"1,534",2,2018,1810000,中高層の店舗兼共同住宅等が建ち並ぶ商業地域,蒲田,170,商業
1771,3,ホテルビスタ蒲田東京,東京都大田区西蒲田８丁目２０-１１,2006年6月,2006,東京都,13_東京都,105,賃貸,ビスタホテルグループ,東京都/大田区/西蒲田/八丁目/２０番,139.713459999999998,35.559919999999998,5,7,30m,335,0,1h52m,"1,534",2,2018,1810000,中高層の店舗兼共同住宅等が建ち並ぶ商業地域,蒲田,170,商業
182,152,アパホテル蒲田駅東,東京都大田区蒲田５丁目３１-５,2016年11月,2016,東京都,13_東京都,220,FC,アパホテルズ＆リゾーツ,東京都/大田区/蒲田/五丁目/３１番,139.719410000000011,35.561100000000003,5,7,22m,335,0,1h46m,"1,564",1,2018,2050000,中高層の店舗ビル等が建ち並ぶ中心的商業地域,蒲田,170,商業
603,8,グランパークホテルパネックス東京,東京都大田区蒲田５丁目９-１９,2010年11月,2010,東京都,13_東京都,126,賃貸,グランパークホテル,東京都/大田区/蒲田/五丁目/９番,139.717989999999986,35.563170000000000,5,7,26m,335,0,1h50m,"1,564",1,2018,2050000,中高層の店舗ビル等が建ち並ぶ中心的商業地域,蒲田,170,商業
728,5,京急EXイン蒲田,東京都大田区蒲田５丁目２８-１８,2010年10月,2010,東京都,13_東京都,155,MC,京急EXイン,東京都/大田区/蒲田/五丁目/２８番,139.720319999999987,35.561810000000001,5,7,22m,335,0,1h46m,"1,564",1,2018,2050000,中高層の店舗ビル等が建ち並ぶ中心的商業地域,蒲田,170,商業
1106,14,相鉄フレッサイン東京蒲田,東京都大田区蒲田５丁目１９-１２,2013年9月,2013,東京都,13_東京都,221,賃貸,相鉄フレッサイン,東京都/大田区/蒲田/五丁目/１９番,139.718289999999996,35.562159999999999,5,7,24m,335,0,1h48m,"1,564",1,2018,2050000,中高層の店舗ビル等が建ち並ぶ中心的商業地域,蒲田,170,商業
1419,16,東横INN蒲田東口,東京都大田区蒲田５丁目１８-４,1997年3月,1997,東京都,13_東京都,90,NA,東横INN,東京都/大田区/蒲田/五丁目/１８番,139.718250000000012,35.562579999999997,5,7,24m,335,0,1h48m,"1,564",1,2018,2050000,中高層の店舗ビル等が建ち並ぶ中心的商業地域,蒲田,170,商業
3036,38,R&Bホテル蒲田東口,東京都大田区蒲田５丁目２３-１,2006年5月,2006,東京都,13_東京都,181,賃貸,ワシントンホテルプラザチェーン　R＆Bホテルチェーン,東京都/大田区/蒲田/五丁目/２３番,139.718950000000007,35.562600000000003,5,7,23m,335,0,1h47m,"1,564",1,2018,2050000,中高層の店舗ビル等が建ち並ぶ中心的商業地域,蒲田,170,商業
161,131,アパホテル蒲田駅西,東京都大田区西蒲田７丁目３４-２,2015年6月,2015,東京都,13_東京都,75,FC,アパホテルズ＆リゾーツ,東京都/大田区/西蒲田/七丁目/３４番,139.711299999999994,35.563380000000002,5,7,33m,335,0,1h56m,"1,534",2,2018,754000,小売店舗等が多い、駅前通り沿いの商業地域,蒲田,430,商業
115,85,アパホテル京急蒲田駅前,東京都大田区蒲田４丁目１８-２４,2011年9月,2011,東京都,13_東京都,95,FC,アパホテルズ＆リゾーツ,東京都/大田区/蒲田/四丁目/１８番,139.722530000000006,35.560519999999997,5,7,19m,335,0,1h43m,"1,564",1,2018,1230000,中高層の店舗兼事務所ビル等が多い駅前商業地域,京急蒲田,0,商業
2918,249,ホテルルートイン東京蒲田,東京都大田区蒲田３丁目１８-２,2017年6月,2017,東京都,13_東京都,147,所有直営,ルートインホテルズ,東京都/大田区/蒲田/三丁目/１８番,139.722080000000005,35.562510000000003,5,7,21m,335,0,1h45m,"1,564",1,2018,1230000,中高層の店舗兼事務所ビル等が多い駅前商業地域,京急蒲田,0,商業
1377,18,羽田エクセルホテル東急,東京都大田区羽田空港３丁目４-２,2004年12月,2004,東京都,13_東京都,386,賃貸,東急ホテルズ,東京都/大田区/羽田空港/三丁目/４番,139.784449999999993,35.554890000000000,5,7,12m,154,0,1h50m,"1,787",0,2018,240000,倉庫、配送センター、工場等が建ち並ぶ工業地域,流通センター,3300,工専
